10milvoltthunderbolt	10Mil Volt Thunderbolt
honeclaws	Hone Claws
hornattack	Horn Attack
horndrill	Horn Drill
hornleech	Horn Leech
howl	Howl
hurricane	Hurricane
hydrocannon	Hydro Cannon
hydropump	Hydro Pump
hydrovortex	Hydro Vortex
hydrovortexpart1	Hydro Vortex part 1
hydrovortexpart2	Hydro Vortex part 2
hydrovortexpart3	Hydro Vortex part 3
hyperbeam	Hyper Beam
hyperfang	Hyper Fang
hypervoice	Hyper Voice
hyperspacefury	Hyperspace Fury
hyperspacehole	Hyperspace Hole
hypnosis	Hypnosis
hypnosispart1	Hypnosis part 1
iceball	Ice Ball
icebeam	Ice Beam
iceburn	Ice Burn
iceburnpart1	Ice Burn part 1
iceburnpart2	Ice Burn part 2
icefang	Ice Fang
icehammer	Ice Hammer
icepunch	Ice Punch
iceshard	Ice Shard
iciclecrash	Icicle Crash
iciclespear1hit	Icicle Spear 1hit
iciclespear2hits	Icicle Spear 2hits
icywind	Icy Wind
imprison	Imprison
inbattleabilityactivate	In-Battle Ability Activate
inbattleeatberry	In-Battle Eat Berry
inbattlefaintnohealth	In-Battle Faint No Health
inbattlehealhprestore	In-Battle Heal HP Restore
inbattlehealthlow	In-Battle Health Low
inbattlehealthlowloop	In-Battle Health Low Loop
inbattlehelditemactivate	In-Battle Held Item Activate
inbattlerecallswitchalive	In-Battle Recall Switch Alive
inbattlerecallswitchfainted	In-Battle Recall Switch Fainted
inbattlerecallswitchfleerun	In-Battle Recall Switch Flee Run
inbattlerecallswitchforcedretreat	In-Battle Recall Switch Forced Retreat
inbattlerecallswitchpokeball	In-Battle Recall Switch Pokeball
incinerate	Incinerate
infernodrive	Inferno Drive
infernodrivepart1	Inferno Drive part 1
infernodrivepart2	Inferno Drive part 2
infernodrivepart3	Inferno Drive part 3
infestation	Infestation
ingrain	Ingrain
ingrainpart1	Ingrain part 1
instruct	Instruct
iondeluge	Ion Deluge
irondefense	Iron Defense
ironhead	Iron Head
irontail	Iron Tail
judgement	Judgement
jumpkick	Jump Kick
karatechop	Karate Chop
kinesis	Kinesis
kingsshield	King's Shield
knockoff	Knock Off
landswrath	Land's Wrath
laserfocus	Laser Focus
lastresort	Last Resort
lavaplume	Lava Plume
leafblade	Leaf Blade
leafstorm	Leaf Storm
leaftornado	Leaf Tornado
leafage	Leafage
leechlife	Leech Life
leechseed	Leech Seed
leechseedturndamage	Leech Seed turn damage
leer	Leer
letssnuggleforever	Let's Snuggle Forever
letssnuggleforeverpart1	Let's Snuggle Forever part 1
letssnuggleforeverpart2	Let's Snuggle Forever part 2
letssnuggleforeverpart3	Let's Snuggle Forever part 3
lightscreen	Light Screen
lightthatburnsthesky	Light That Burns The Sky
lightthatburnstheskypart1	Light That Burns The Sky part 1
lightthatburnstheskypart2	Light That Burns The Sky part 2
lightthatburnstheskypart3	Light That Burns The Sky part 3
lightofruin	Light of Ruin
liquidation	Liquidation
lockon	Lock-On
lovelykiss	Lovely Kiss
lovelykisspart1	Lovely Kiss part 1
lowkick	Low Kick
lowsweep	Low Sweep
luckychant	Lucky Chant
lunardance	Lunar Dance
lunge	Lunge
lusterpurge	Luster Purge
machpunch	Mach Punch
magiccoat	Magic Coat
magicroom	Magic Room
magicalleaf	Magical Leaf
magmastorm	Magma Storm
magmastormturndamage	Magma Storm turn damage
magnetbomb	Magnet Bomb
magnetrise	Magnet Rise
magneticflux	Magnetic Flux
magnitude	Magnitude
maliciousmoonsault	Malicious Moonsault
maliciousmoonsaultpart1	Malicious Moonsault part 1
maliciousmoonsaultpart2	Malicious Moonsault part 2
maliciousmoonsaultpart3	Malicious Moonsault part 3
matblock	Mat Block
mefirst	Me First
meanlook	Mean Look
meditate	Meditate
megadrain	Mega Drain
megadrainpart1	Mega Drain part 1
megakick	Mega Kick
megapunch	Mega Punch
megahorn	Megahorn
memento	Memento
mementopart1	Memento part 1
menacingmoonrazemaelstrom	Menacing Moonraze Maelstrom
menacingmoonrazemaelstrompart1	Menacing Moonraze Maelstrom part 1
menacingmoonrazemaelstrompart2	Menacing Moonraze Maelstrom part 2
menacingmoonrazemaelstrompart3	Menacing Moonraze Maelstrom part 3
metalburst	Metal Burst
metalburstpart1	Metal Burst part 1
metalburstpart2	Metal Burst part 2
metalclaw	Metal Claw
metalsound	Metal Sound
meteormash	Meteor Mash
metronome	Metronome
milkdrink	Milk Drink
mimic	Mimic
mindblown	Mind Blown
mindreader	Mind Reader
minimize	Minimize
miracleeye	Miracle Eye
mirrorcoat	Mirror Coat
mirrorshot	Mirror Shot
mistball	Mist Ball
mistyterrain	Misty Terrain
mistyterrainpart1	Misty Terrain part 1
mistyterrainpart2	Misty Terrain part 2
moonblast	Moonblast
moongeistbeam	Moongeist Beam
moonlight	Moonlight
moonlightpart1	Moonlight part 1
morningsun	Morning Sun
morningsunpart1	Morning Sun part 1
mudbomb	Mud Bomb
mudshot	Mud Shot
mudsport	Mud Sport
mudslap	Mud-Slap
muddywater	Muddy Water
multiattack	Multi-Attack
multiattackpart1	Multi-Attack part 1
mysticalfire	Mystical Fire
nastyplot	Nasty Plot
naturalgift	Natural Gift
naturesmadness	Nature's Madness
needlearm	Needle Arm
neverendingnightmare	Never-Ending Nightmare
neverendingnightmarepart1	Never-Ending Nightmare part 1
neverendingnightmarepart2	Never-Ending Nightmare part 2
neverendingnightmarepart3	Never-Ending Nightmare part 3
nightdaze	Night Daze
nightshade	Night Shade
nightslash	Night Slash
nightmare	Nightmare
nobleroar	Noble Roar
nuzzle	Nuzzle
oblivionwing	Oblivion Wing
oceanicoperetta	Oceanic Operetta
oceanicoperettapart1	Oceanic Operetta part 1
oceanicoperettapart2	Oceanic Operetta part 2
oceanicoperettapart3	Oceanic Operetta part 3
octazooka	Octazooka
odorsleuth	Odor Sleuth
ominouswind	Ominous Wind
originpulse	Origin Pulse
outrage	Outrage
overheat	Overheat
painsplit	Pain Split
paraboliccharge	Parabolic Charge
partingshot	Parting Shot
payday	Pay Day
payback	Payback
peck	Peck
perishsong	Perish Song
petalblizzard	Petal Blizzard
petaldance	Petal Dance
phantomforce	Phantom Force
phantomforcepart1	Phantom Force part 1
phantomforcepart2	Phantom Force part 2
photongeyser	Photon Geyser
pinmissile1hit	Pin Missile 1hit
pinmissile2hits	Pin Missile 2hits
plasmafist	Plasma Fist
playnice	Play Nice
playrough	Play Rough
pluck	Pluck
poisonfang	Poison Fang
poisongas	Poison Gas
poisongaspart1	Poison Gas part 1
poisonjab	Poison Jab
poisonpowder	Poison Powder
poisonpowderpart1	Poison Powder part 1
poisonsting	Poison Sting
poisontail	Poison Tail
pollenpuff	Pollen Puff
pound	Pound
powder	Powder
powdersnow	Powder Snow
powderpart1	Powder part 1
powderpart2	Powder part 2
powergem	Power Gem
powersplit	Power Split
powerswap	Power Swap
powertrick	Power Trick
powertrip	Power Trip
powerwhip	Power Whip
poweruppunch	Power-Up Punch
precipiceblades	Precipice Blades
presentdamage	Present damage
presentheal	Present heal
presentpart1	Present part 1
prismaticlaser	Prismatic Laser
protect	Protect
protectshieldhit	Protect shield hit
psybeam	Psybeam
psychup	Psych Up
psychic	Psychic
psychicfangs	Psychic Fangs
psychicterrain	Psychic Terrain
psychicterrainpart1	Psychic Terrain part 1
psychicterrainpart2	Psychic Terrain part 2
psychoboost	Psycho Boost
psychocut	Psycho Cut
psychoshift	Psycho Shift
psyshock	Psyshock
psystrike	Psystrike
psywave	Psywave
pulverizingpancake	Pulverizing Pancake
pulverizingpancakepart1	Pulverizing Pancake part 1
pulverizingpancakepart2	Pulverizing Pancake part 2
pulverizingpancakepart3	Pulverizing Pancake part 3
punishment	Punishment
purify	Purify
pursuit	Pursuit
quash	Quash
quickattack	Quick Attack
quickguard	Quick Guard
quiverdance	Quiver Dance
rage	Rage
ragepowder	Rage Powder
raindance	Rain Dance
raindancepart1	Rain Dance part 1
raindancepart2	Rain Dance part 2
rapidspin	Rapid Spin
razorleaf	Razor Leaf
razorshell	Razor Shell
razorwind	Razor Wind
recover	Recover
recoverpart1	Recover part 1
recycle	Recycle
reflect	Reflect
reflecttype	Reflect Type
refresh	Refresh
relicsong	Relic Song
rest	Rest
restpart1	Rest part 1
retaliate	Retaliate
return	Return
revelationdance	Revelation Dance
revenge	Revenge
reversal	Reversal
roar	Roar
roaroftime	Roar of Time
rockblast1hit	Rock Blast 1hit
rockblast2hits	Rock Blast 2hits
rockclimb	Rock Climb
rockpolish	Rock Polish
rockslide	Rock Slide
rocksmash	Rock Smash
rockthrow	Rock Throw
rocktomb	Rock Tomb
rockwrecker	Rock Wrecker
roleplay	Role Play
roleplaypart1	Role Play part 1
rollingkick	Rolling Kick
rollout	Rollout
roost	Roost
roostpart1	Roost part 1
rototiller	Rototiller
round	Round
sacredfire	Sacred Fire
sacredsword	Sacred Sword
safeguard	Safeguard
sandattack	Sand Attack
sandtomb	Sand Tomb
sandtombturndamage	Sand Tomb turn damage
sandstorm	Sandstorm
sandstormpart1	Sandstorm part 1
sandstormpart2	Sandstorm part 2
sandstormturndamage	Sandstorm turn damage
savagespinout	Savage Spin-Out
savagespinoutpart1	Savage Spin-Out part 1
savagespinoutpart2	Savage Spin-Out part 2
savagespinoutpart3	Savage Spin-Out part 3
scald	Scald
scaryface	Scary Face
scratch	Scratch
screech	Screech
searingshot	Searing Shot
searingsunrazesmash	Searing Sunraze Smash
searingsunrazesmashpart1	Searing Sunraze Smash part 1
searingsunrazesmashpart2	Searing Sunraze Smash part 2
searingsunrazesmashpart3	Searing Sunraze Smash part 3
secretpower	Secret Power
secretsword	Secret Sword
seedbomb	Seed Bomb
seedflare	Seed Flare
seismictoss	Seismic Toss
selfdestruct	Self-Destruct
selfdestructpart1	Self-Destruct part 1
selfdestructpart2	Self-Destruct part 2
shadowball	Shadow Ball
shadowbone	Shadow Bone
shadowclaw	Shadow Claw
shadowforce	Shadow Force
shadowforcepart1	Shadow Force part 1
shadowforcepart2	Shadow Force part 2
shadowpunch	Shadow Punch
shadowsneak	Shadow Sneak
sharpen	Sharpen
shatteredpsyche	Shattered Psyche
shatteredpsychepart1	Shattered Psyche part 1
shatteredpsychepart2	Shattered Psyche part 2
shatteredpsychepart3	Shattered Psyche part 3
sheercold	Sheer Cold
sheercoldpart1	Sheer Cold part 1
shellsmash	Shell Smash
shelltrap	Shell Trap
shelltrappart1	Shell Trap part 1
shelltrappart2	Shell Trap part 2
shiftgear	Shift Gear
shockwave	Shock Wave
shoreup	Shore Up
shoreuppart1	Shore Up part 1
signalbeam	Signal Beam
silverwind	Silver Wind
simplebeam	Simple Beam
simplebeampart1	Simple Beam part 1
sing	Sing
singpart1	Sing part 1
sinisterarrowraid	Sinister Arrow Raid
sinisterarrowraidpart1	Sinister Arrow Raid part 1
sinisterarrowraidpart2	Sinister Arrow Raid part 2
sinisterarrowraidpart3	Sinister Arrow Raid part 3
sketch	Sketch
sketchpart1	Sketch part 1
sketchpart2	Sketch part 2
skillswap	Skill Swap
skillswappart1	Skill Swap part 1
skullbash	Skull Bash
skullbashpart1	Skull Bash part 1
skullbashpart2	Skull Bash part 2
skyattack	Sky Attack
skyattackpart1	Sky Attack part 1
skyattackpart2	Sky Attack part 2
skydrop	Sky Drop
skydroppart1	Sky Drop part 1
skydroppart2	Sky Drop part 2
skyuppercut	Sky Uppercut
slackoff	Slack Off
slackoffpart1	Slack Off part 1
slam	Slam
slash	Slash
sleeppowder	Sleep Powder
sleeppowderpart1	Sleep Powder part 1
sleeptalk	Sleep Talk
sludge	Sludge
sludgebomb	Sludge Bomb
sludgewave	Sludge Wave
smackdown	Smack Down
smartstrike	Smart Strike
smartstrikepart1	Smart Strike part 1
smartstrikepart2	Smart Strike part 2
smellingsalts	Smelling Salts
smog	Smog
smokescreen	Smokescreen
snarl	Snarl
snatch	Snatch
snore	Snore
soak	Soak
softboiled	Soft-Boiled
solarbeam	Solar Beam
solarbeampart1	Solar Beam part 1
solarbeampart2	Solar Beam part 2
solarblade	Solar Blade
solarbladepart1	Solar Blade part 1
solarbladepart2	Solar Blade part 2
sonicboom	Sonic Boom
soulstealing7starstrike	Soul-Stealing 7-Star Strike
soulstealing7starstrikepart1	Soul-Stealing 7-Star Strike part 1
soulstealing7starstrikepart2	Soul-Stealing 7-Star Strike part 2
soulstealing7starstrikepart3	Soul-Stealing 7-Star Strike part 3
spacialrend	Spacial Rend
spacialrendpart1	Spacial Rend part 1
spacialrendpart2	Spacial Rend part 2
spark	Spark
sparklingaria	Sparkling Aria
spectralthief	Spectral Thief
speedswap	Speed Swap
spiderweb	Spider Web
spikecannon1hit	Spike Cannon 1hit
spikecannon2hits	Spike Cannon 2hits
spikes	Spikes
spikyshield	Spiky Shield
spiritshackle	Spirit Shackle
spitup	Spit Up
spite	Spite
splash	Splash
splinteredstormshards	Splintered Stormshards
splinteredstormshardspart1	Splintered Stormshards part 1
splinteredstormshardspart2	Splintered Stormshards part 2
splinteredstormshardspart3	Splintered Stormshards part 3
spore	Spore
sporepart1	Spore part 1
spotlight	Spotlight
statfalldown	Stat Fall Down
statriseup	Stat Rise Up
statusburned	Status Burned
statusconfused	Status Confused
statusfrozen	Status Frozen
statusparalyzed	Status Paralyzed
statuspoisoned	Status Poisoned
statussleep	Status Sleep
stealthrock	Stealth Rock
steameruption	Steam Eruption
steamroller	Steamroller
steelwing	Steel Wing
stickyweb	Sticky Web
stockpile	Stockpile
stokedsparksurfer	Stoked Sparksurfer
stokedsparksurferpart1	Stoked Sparksurfer part 1
stokedsparksurferpart2	Stoked Sparksurfer part 2
stokedsparksurferpart3	Stoked Sparksurfer part 3
stomp	Stomp
stompingtantrum	Stomping Tantrum
stoneedge	Stone Edge
storedpower	Stored Power
stormthrow	Storm Throw
strength	Strength
stringshot	String Shot
struggle	Struggle
strugglebug	Struggle Bug
stunspore	Stun Spore
submission	Submission
substitute	Substitute
subzeroslammer	Subzero Slammer
subzeroslammerpart1	Subzero Slammer part 1
subzeroslammerpart2	Subzero Slammer part 2
subzeroslammerpart3	Subzero Slammer part 3
suckerpunch	Sucker Punch
sunnyday	Sunny Day
sunsteelstrike	Sunsteel Strike
superfang	Super Fang
superpower	Superpower
supersonic	Supersonic
supersonicskystrike	Supersonic Skystrike
supersonicskystrikepart1	Supersonic Skystrike part 1
supersonicskystrikepart2	Supersonic Skystrike part 2
supersonicskystrikepart3	Supersonic Skystrike part 3
supersonicpart1	Supersonic part 1
surf	Surf
swagger	Swagger
swallow	Swallow
swallowpart1	Swallow part 1
sweetkiss	Sweet Kiss
sweetkisspart1	Sweet Kiss part 1
sweetscent	Sweet Scent
swift	Swift
switcheroo	Switcheroo
swordsdance	Swords Dance
synchronoise	Synchronoise
synthesis	Synthesis
synthesispart1	Synthesis part 1
synthesispart2	Synthesis part 2
tackle	Tackle
tailglow	Tail Glow
tailslap1hit	Tail Slap 1hit
tailslap2hits	Tail Slap 2hits
tailwhip	Tail Whip
tailwind	Tailwind
takedown	Take Down
taunt	Taunt
tearfullook	Tearful Look
technoblast	Technoblast
tectonicrage	Tectonic Rage
tectonicragepart1	Tectonic Rage part 1
tectonicragepart2	Tectonic Rage part 2
tectonicragepart3	Tectonic Rage part 3
teeterdance	Teeter Dance
teeterdancepart1	Teeter Dance part 1
telekinesis	Telekinesis
teleport	Teleport
thief	Thief
thousandarrows	Thousand Arrows
thousandwaves	Thousand Waves
thrash	Thrash
throatchop	Throat Chop
thunder	Thunder
thunderfang	Thunder Fang
thunderpunch	Thunder Punch
thundershock	Thunder Shock
thunderwave	Thunder Wave
thunderwavepart1	Thunder Wave part 1
thunderbolt	Thunderbolt
tickle	Tickle
topsyturvy	Topsy-Turvy
torment	Torment
toxic	Toxic
toxicspikes	Toxic Spikes
toxicthread	Toxic Thread
transform	Transform
triattack	Tri Attack
trick	Trick
trickroom	Trick Room
trickortreat	Trick-or-Treat
triplekick1hit	Triple Kick 1hit
triplekick2hits	Triple Kick 2hits
triplekick3hits	Triple Kick 3hits
tropkick	Trop Kick
trumpcard	Trump Card
twineedle1hit	Twineedle 1hit
twineedle2hits	Twineedle 2hits
twinkletackle	Twinkle Tackle
